iso3,city,country,population,city_ascii,lng,lat
JPN,Tokyo,Japan,39105000,Tokyo,139.7744,35.6839
IDN,Jakarta,Indonesia,35362000,Jakarta,106.8451,-6.2146
PHL,Manila,Philippines,23971000,Manila,120.9833,14.6
KOR,Seoul,South Korea,22394000,Seoul,126.99,37.56
MEX,Mexico City,Mexico,21505000,Mexico City,-99.1333,19.4333
EGY,Cairo,Egypt,19787000,Cairo,31.2358,30.0444
CHN,Beijing,China,19437000,Beijing,116.4075,39.904
RUS,Moscow,Russia,17693000,Moscow,37.6178,55.7558
THA,Bangkok,Thailand,17573000,Bangkok,100.5167,13.75
BGD,Dhaka,Bangladesh,16839000,Dhaka,90.3944,23.7289
ARG,Buenos Aires,Argentina,16216000,Buenos Aires,-58.3819,-34.5997
COD,Kinshasa,Congo (Kinshasa),15056000,Kinshasa,15.3139,-4.3317
IRN,Tehran,Iran,13819000,Tehran,51.4167,35.7
GBR,London,United Kingdom,11120000,London,-0.1275,51.5072
FRA,Paris,France,11027000,Paris,2.3522,48.8566
PER,Lima,Peru,8992000,Lima,-77.0375,-12.06
AGO,Luanda,Angola,8883000,Luanda,13.2344,-8.8383
MYS,Kuala Lumpur,Malaysia,8639000,Kuala Lumpur,101.6953,3.1478
VNM,Hanoi,Vietnam,8246600,Hanoi,105.8412,21.0245
COL,Bogotá,Colombia,7743955,Bogota,-74.0705,4.6126
TZA,Dar es Salaam,Tanzania,7461000,Dar es Salaam,39.2833,-6.8
HKG,Hong Kong,Hong Kong,7398000,Hong Kong,114.1831,22.3069
CHL,Santiago,Chile,7026000,Santiago,-70.6667,-33.45
SAU,Riyadh,Saudi Arabia,6889000,Riyadh,46.71,24.65
IRQ,Baghdad,Iraq,6107000,Baghdad,44.4167,33.35
SDN,Khartoum,Sudan,6017000,Khartoum,32.5265,15.6031
ESP,Madrid,Spain,6006000,Madrid,-3.7167,40.4167
KEN,Nairobi,Kenya,5545000,Nairobi,36.8172,-1.2864
MMR,Rangoon,Myanmar,5430000,Rangoon,96.16,16.795
USA,Washington,United States,5379184,Washington,-77.0163,38.9047
SGP,Singapore,Singapore,5271000,Singapore,103.8,1.3
CIV,Abidjan,Côte d'Ivoire,4980000,Abidjan,-4.0267,5.3364
AFG,Kabul,Afghanistan,4273156,Kabul,69.1658,34.5328
JOR,Amman,Jordan,4007526,Amman,35.9333,31.95
DEU,Berlin,Germany,3664088,Berlin,13.3833,52.5167
DZA,Algiers,Algeria,3415811,Algiers,3.0586,36.7764
ETH,Addis Ababa,Ethiopia,3041002,Addis Ababa,38.7369,9.0272
BRA,Brasília,Brazil,3015268,Brasilia,-47.8828,-15.7939
KWT,Kuwait City,Kuwait,2989000,Kuwait City,47.98,29.375
UKR,Kyiv,Ukraine,2963199,Kyiv,30.5236,50.45
YEM,Sanaa,Yemen,2957000,Sanaa,44.2,15.35
GTM,Guatemala City,Guatemala,2934841,Guatemala City,-90.5252,14.6099
ITA,Rome,Italy,2872800,Rome,12.4828,41.8931
BOL,La Paz,Bolivia,2867504,La Paz,-68.1475,-16.4942
PRK,Pyongyang,North Korea,2863000,Pyongyang,125.73,39.03
MDG,Antananarivo,Madagascar,2610000,Antananarivo,47.5214,-18.9386
DOM,Santo Domingo,Dominican Republic,2581827,Santo Domingo,-69.8933,18.4764
UZB,Tashkent,Uzbekistan,2497900,Tashkent,69.2667,41.3
BFA,Ouagadougou,Burkina Faso,2453496,Ouagadougou,-1.5275,12.3686
CMR,Yaoundé,Cameroon,2440462,Yaounde,11.5181,3.8578
GHA,Accra,Ghana,2291352,Accra,-0.187,5.6037
AZE,Baku,Azerbaijan,2181800,Baku,49.8352,40.3667
ZWE,Harare,Zimbabwe,2150000,Harare,31.0522,-17.8292
CUB,Havana,Cuba,2141652,Havana,-82.3589,23.1367
KHM,Phnom Penh,Cambodia,2129371,Phnom Penh,104.921,11.5696
SOM,Mogadishu,Somalia,2120000,Mogadishu,45.3425,2.0408
MLI,Bamako,Mali,2009109,Bamako,-7.9922,12.6458
ECU,Quito,Ecuador,2011388,Quito,-78.5125,-0.22
BLR,Minsk,Belarus,2009786,Minsk,27.5618,53.9022
VEN,Caracas,Venezuela,1943901,Caracas,-66.9333,10.5
AUT,Vienna,Austria,1911191,Vienna,16.3725,48.2083
ROU,Bucharest,Romania,1883425,Bucharest,26.0833,44.4
COG,Brazzaville,Congo (Brazzaville),1827000,Brazzaville,15.2833,-4.2667
POL,Warsaw,Poland,1790658,Warsaw,21.0111,52.23
SYR,Damascus,Syria,1754000,Damascus,36.2919,33.5131
BEL,Brussels,Belgium,1743000,Brussels,4.3314,50.8353
ZMB,Lusaka,Zambia,1742979,Lusaka,28.2833,-15.4167
HUN,Budapest,Hungary,1723836,Budapest,19.0408,47.4983
GIN,Conakry,Guinea,1667864,Conakry,-13.6773,9.538
UGA,Kampala,Uganda,1659600,Kampala,32.5811,0.3136
ARE,Abu Dhabi,United Arab Emirates,1483000,Abu Dhabi,54.3969,24.4511
OMN,Muscat,Oman,1421409,Muscat,58.5922,23.6139
MNG,Ulaanbaatar,Mongolia,1396288,Ulaanbaatar,106.9055,47.9214
SRB,Belgrade,Serbia,1378682,Belgrade,20.4667,44.8167
CZE,Prague,Czechia,1335084,Prague,14.4167,50.0833
URY,Montevideo,Uruguay,1319108,Montevideo,-56.1667,-34.8667
BGR,Sofia,Bulgaria,1277411,Sofia,23.3217,42.6979
NGA,Abuja,Nigeria,1235880,Abuja,7.4914,9.0556
MOZ,Maputo,Mozambique,1191613,Maputo,32.5764,-25.9153
QAT,Doha,Qatar,1186023,Doha,51.5333,25.3
SEN,Dakar,Senegal,1146053,Dakar,-17.4572,14.7319
MMR,Nay Pyi Taw,Myanmar,1160242,Nay Pyi Taw,96.115,19.7475
RWA,Kigali,Rwanda,1156663,Kigali,30.0606,-1.9536
LBY,Tripoli,Libya,1126000,Tripoli,13.1875,32.8752
HND,Tegucigalpa,Honduras,1126534,Tegucigalpa,-87.2067,14.0942
GEO,Tbilisi,Georgia,1118035,Tbilisi,44.7925,41.7225
TCD,N’Djamena,Chad,1092066,N'Djamena,15.05,12.11
DNK,Copenhagen,Denmark,1085000,Copenhagen,12.5615,55.6805
ARM,Yerevan,Armenia,1075800,Yerevan,44.5144,40.1814
KAZ,Nur-Sultan,Kazakhstan,1078362,Nur-Sultan,71.4333,51.1333
MRT,Nouakchott,Mauritania,1077169,Nouakchott,-15.9785,18.0858
KGZ,Bishkek,Kyrgyzstan,1053900,Bishkek,74.5667,42.8667
TUN,Tunis,Tunisia,1056247,Tunis,10.18,36.8008
NPL,Kathmandu,Nepal,975453,Kathmandu,85.3667,27.7167
NER,Niamey,Niger,1026848,Niamey,2.1111,13.5086
NIC,Managua,Nicaragua,1028808,Managua,-86.2667,12.15
LBR,Monrovia,Liberia,1021762,Monrovia,-10.8047,6.3106
HTI,Port-au-Prince,Haiti,987310,Port-au-Prince,-72.3386,18.5425
PAK,Islamabad,Pakistan,1014825,Islamabad,73.0369,33.6989
CAN,Ottawa,Canada,989567,Ottawa,-75.695,45.4247
SWE,Stockholm,Sweden,975819,Stockholm,18.0686,59.3294
ERI,Asmara,Eritrea,963000,Asmara,38.9167,15.3333
SLE,Freetown,Sierra Leone,951000,Freetown,-13.2331,8.4833
LAO,Vientiane,Laos,948487,Vientiane,102.6,17.9667
ISR,Jerusalem,Israel,919438,Jerusalem,35.2167,31.7833
CAF,Bangui,Central African Republic,889231,Bangui,18.5628,4.3732
PAN,Panama City,Panama,880691,Panama City,-79.5,9
NLD,Amsterdam,Netherlands,862965,Amsterdam,4.8833,52.3667
TGO,Lomé,Togo,837437,Lome,1.2228,6.1319
GAB,Libreville,Gabon,797003,Libreville,9.4544,0.3901
HRV,Zagreb,Croatia,790017,Zagreb,15.9772,45.8131
TJK,Dushanbe,Tajikistan,778500,Dushanbe,68.7864,38.5731
MWI,Lilongwe,Malawi,781538,Lilongwe,33.7833,-13.9833
BEN,Cotonou,Benin,762000,Cotonou,2.518,6.402
LKA,Colombo,Sri Lanka,752993,Colombo,79.8333,6.9167
ZAF,Pretoria,South Africa,741651,Pretoria,28.1881,-25.7464
NOR,Oslo,Norway,693494,Oslo,10.7528,59.9111
GRC,Athens,Greece,664046,Athens,23.7281,37.9842
BDI,Bujumbura,Burundi,658859,Bujumbura,29.3611,-3.3825
FIN,Helsinki,Finland,642045,Helsinki,24.9342,60.1756
MKD,Skopje,Macedonia,640000,Skopje,21.4333,41.9833
MDA,Chisinau,Moldova,639000,Chisinau,28.8353,47.0228
LVA,Riga,Latvia,614618,Riga,24.1069,56.9475
JAM,Kingston,Jamaica,580000,Kingston,-76.7931,17.9714
MAR,Rabat,Morocco,572717,Rabat,-6.8361,34.0253
LTU,Vilnius,Lithuania,574147,Vilnius,25.2833,54.6833
SLV,San Salvador,El Salvador,567698,San Salvador,-89.1914,13.6989
DJI,Djibouti,Djibouti,562000,Djibouti,43.1481,11.595
IRL,Dublin,Ireland,553165,Dublin,-6.2603,53.3497
NLD,The Hague,Netherlands,537833,The Hague,4.31,52.08
PRY,Asunción,Paraguay,524190,Asuncion,-57.6333,-25.3
PRT,Lisbon,Portugal,506654,Lisbon,-9.139,38.708
SVK,Bratislava,Slovakia,475503,Bratislava,17.1128,48.1447
EST,Tallinn,Estonia,438341,Tallinn,24.745,59.4372
LBN,Beirut,Lebanon,361366,Beirut,35.5131,33.8869
ZAF,Cape Town,South Africa,433688,Cape Town,18.425,-33.925
ALB,Tirana,Albania,418495,Tirana,19.82,41.33
NZL,Wellington,New Zealand,418500,Wellington,174.7772,-41.2889
TZA,Dodoma,Tanzania,410956,Dodoma,35.746,-6.1835
GNB,Bissau,Guinea-Bissau,395954,Bissau,-15.5956,11.8592
AUS,Canberra,Australia,381488,Canberra,149.1269,-35.2931
SSD,Juba,South Sudan,372410,Juba,31.6,4.85
CIV,Yamoussoukro,Côte d'Ivoire,355573,Yamoussoukro,-5.2742,6.8161
LSO,Maseru,Lesotho,330790,Maseru,27.48,-29.31
CYP,Nicosia,Cyprus,330000,Nicosia,33.365,35.1725
NAM,Windhoek,Namibia,322500,Windhoek,17.0836,-22.57
PNG,Port Moresby,Papua New Guinea,317374,Port Moresby,147.1494,-9.4789
BEN,Porto-Novo,Benin,300000,Porto-Novo,2.6167,6.4833
BOL,Sucre,Bolivia,300000,Sucre,-65.2592,-19.0431
CRI,San José,Costa Rica,288054,San Jose,-84.0833,9.9333
SVN,Ljubljana,Slovenia,286745,Ljubljana,14.5167,46.05
BIH,Sarajevo,Bosnia And Herzegovina,275524,Sarajevo,18.4132,43.8563
BHS,Nassau,The Bahamas,274400,Nassau,-77.3333,25.0667
ZAF,Bloemfontein,South Africa,256185,Bloemfontein,26.2167,-29.1
MTQ,Fort-de-France,Martinique,253995,Fort-de-France,-61.08,14.6104
IND,New Delhi,India,249998,New Delhi,77.209,28.6139
BWA,Gaborone,Botswana,231626,Gaborone,25.9086,-24.6569
SUR,Paramaribo,Suriname,223757,Paramaribo,-55.1667,5.8667
TLS,Dili,Timor-Leste,222323,Dili,125.5783,-8.5536
MDV,Male,Maldives,133019,Male,73.5083,4.175
GUY,Georgetown,Guyana,200500,Georgetown,-58.1667,6.7833
GIB,Gibraltar,Gibraltar,187083,Gibraltar,-5.3781,36.1324
REU,Saint-Denis,Reunion,190047,Saint-Denis,55.4481,-20.8789
GNQ,Malabo,Equatorial Guinea,187302,Malabo,8.7737,3.7521
MNE,Podgorica,Montenegro,174515,Podgorica,19.2661,42.4397
BHR,Manama,Bahrain,157474,Manama,50.5775,26.225
MUS,Port Louis,Mauritius,149194,Port Louis,57.5,-20.1667
CUW,Willemstad,Curaçao,150000,Willemstad,-68.935,12.108
CHE,Bern,Switzerland,133798,Bern,7.4474,46.948
PYF,Papeete,French Polynesia,131695,Papeete,-149.5667,-17.5334
LUX,Luxembourg,Luxembourg,128512,Luxembourg,6.1328,49.6106
ISL,Reykjavík,Iceland,128793,Reykjavik,-21.935,64.1475
CPV,Praia,Cabo Verde,127832,Praia,-23.5092,14.9177
LKA,Sri Jayewardenepura Kotte,Sri Lanka,115826,Sri Jayewardenepura Kotte,79.9164,6.9
BRB,Bridgetown,Barbados,110000,Bridgetown,-59.6167,13.0975
COM,Moroni,Comoros,111329,Moroni,43.2536,-11.7036
BTN,Thimphu,Bhutan,104000,Thimphu,89.6333,27.4833
SWZ,Mbabane,Swaziland,94874,Mbabane,31.1617,-26.3208
NCL,Nouméa,New Caledonia,93060,Noumea,166.4443,-22.2625
SLB,Honiara,Solomon Islands,84520,Honiara,159.95,-9.4333
FJI,Suva,Fiji,88271,Suva,178.4333,-18.1333
TUR,Ankara,Turkey,77168,Ankara,32.85,39.93
LCA,Castries,Saint Lucia,70000,Castries,-60.9833,14.0167
GUF,Cayenne,French Guiana,61550,Cayenne,-52.33,4.933
STP,São Tomé,Sao Tome And Principe,56166,Sao Tome,6.7333,0.3333
VUT,Port-Vila,Vanuatu,51437,Port-Vila,168.3167,-17.7333
BMU,Hamilton,Bermuda,52320,Hamilton,-64.7839,32.2942
BRN,Bandar Seri Begawan,Brunei,50000,Bandar Seri Begawan,114.9167,4.9167
MCO,Monaco,Monaco,36371,Monaco,7.4069,43.7396
BDI,Gitega,Burundi,41944,Gitega,29.925,-3.4283
TTO,Port of Spain,Trinidad And Tobago,37074,Port of Spain,-61.5167,10.6667
WSM,Apia,Samoa,37708,Apia,-171.8333,-13.8333
KIR,Tarawa,Kiribati,28802,Tarawa,173.0176,1.3382
ABW,Oranjestad,Aruba,34980,Oranjestad,-70.0358,12.5186
JEY,Saint Helier,Jersey,33522,Saint Helier,-2.11,49.1858
GMB,Banjul,The Gambia,31356,Banjul,-16.5775,13.4531
MYT,Mamoudzou,Mayotte,32057,Mamoudzou,45.275,-12.7871
MHL,Majuro,Marshall Islands,30000,Majuro,171.3802,7.0918
IMN,Douglas,Isle Of Man,27938,Douglas,-4.4819,54.15
CYM,George Town,Cayman Islands,27704,George Town,-81.3744,19.2866
SYC,Victoria,Seychelles,26450,Victoria,55.4544,-4.6236
VCT,Kingstown,Saint Vincent And The Grenadines,25000,Kingstown,-61.2333,13.1667
AND,Andorra la Vella,Andorra,22615,Andorra la Vella,1.5,42.5
ATG,Saint John’s,Antigua And Barbuda,21926,Saint John's,-61.8447,17.1211
TON,Nuku‘alofa,Tonga,23221,Nuku`alofa,-175.2083,-21.1347
TKM,Ashgabat,Turkmenistan,19426,Ashgabat,58.3833,37.95
GRL,Nuuk,Greenland,18326,Nuuk,-51.7333,64.175
BLZ,Belmopan,Belize,17222,Belmopan,-88.7675,17.25
DMA,Roseau,Dominica,16582,Roseau,-61.3833,15.3
KNA,Basseterre,Saint Kitts And Nevis,13220,Basseterre,-62.7342,17.2983
FRO,Tórshavn,Faroe Islands,13326,Torshavn,-6.7833,62
ASM,Pago Pago,American Samoa,12576,Pago Pago,-170.7046,-14.274
MLT,Valletta,Malta,6444,Valletta,14.5125,35.8978
XGZ,Gaza,Gaza Strip,,Gaza,34.456,31.5069
TCA,Grand Turk,Turks And Caicos Islands,5801,Grand Turk,-71.136,21.4664
FSM,Palikir,Federated States of Micronesia,6227,Palikir,158.185,6.9178
TUV,Funafuti,Tuvalu,6025,Funafuti,179.1942,-8.5243
LIE,Vaduz,Liechtenstein,5668,Vaduz,9.5219,47.1397
SWZ,Lobamba,Swaziland,5800,Lobamba,31.2064,-26.4465
COK,Avarua,Cook Islands,5445,Avarua,-159.771,-21.207
GRD,Saint George’s,Grenada,4315,Saint George's,-61.7417,12.0444
SMR,San Marino,San Marino,4040,San Marino,12.4484,43.932
XWB,Al Quds,West Bank,,Al Quds,35.2269,31.7764
MNP,Capitol Hill,Northern Mariana Islands,2500,Capitol Hill,145.7546,15.2137
FLK,Stanley,Falkland Islands (Islas Malvinas),2213,Stanley,-57.85,-51.7
VAT,Vatican City,Vatican City,825,Vatican City,12.4534,41.9033
NIU,Alofi,Niue,1611,Alofi,-169.921,-19.056
GLP,Basse-Terre,Guadeloupe,307,Basse-Terre,-61.7055,16.0104
GUM,Hagåtña,Guam,1051,Hagta,144.7504,13.4745
MAF,Marigot,Saint Martin,,Marigot,-63.0847,18.0706
SHN,Jamestown,"Saint Helena, Ascension, And Tristan Da Cunha",714,Jamestown,-5.7179,-15.9251
MSR,Brades,Montserrat,391,Brades,-62.2106,16.7928
SXM,Philipsburg,Sint Maarten,,Philipsburg,-63.0492,18.0256
NRU,Yaren,Nauru,,Yaren,166.9209,-0.5477
XKS,Pristina,Kosovo,,Pristina,21.1622,42.6633
BLM,Gustavia,Saint Barthelemy,,Gustavia,-62.8508,17.8958
VGB,Road Town,British Virgin Islands,,Road Town,-64.6167,18.4167
PLW,Ngerulmud,Palau,271,Ngerulmud,134.6242,7.5006
SPM,Saint-Pierre,Saint Pierre And Miquelon,,Saint-Pierre,-56.1764,46.7811
AIA,The Valley,Anguilla,,The Valley,-63.05,18.2167
WLF,Mata-Utu,Wallis And Futuna,,Mata-Utu,-176.1736,-13.2825
NFK,Kingston,Norfolk Island,,Kingston,167.9617,-29.0569
XSV,Longyearbyen,Svalbard,,Longyearbyen,15.6333,78.2167
MAR,Tifariti,Morocco,,Tifariti,-10.6089,26.0928
PCN,Adamstown,Pitcairn Islands,,Adamstown,-130.0833,-25.0667
CXR,Flying Fish Cove,Christmas Island,,Flying Fish Cove,105.7167,-10.4167
SGS,King Edward Point,South Georgia And South Sandwich Islands,,King Edward Point,-36.5,-54.2833
PRI,San Juan,Puerto Rico,323279,San Juan,-66.0636,18.4037
BRA,São Paulo,Brazil,22495000,Sao Paulo,-46.6339,-23.5504
IND,Mumbai,India,22186000,Mumbai,72.8775,19.0758
CHN,Shanghai,China,22118000,Shanghai,121.4667,31.1667
CHN,Guangzhou,China,21489000,Guangzhou,113.259,23.1288
USA,New York,United States,18713220,New York,-73.9249,40.6943
IND,Kolkāta,India,18698000,Kolkata,88.3639,22.5727
JPN,Ōsaka,Japan,15490000,Osaka,135.4582,34.752
NGA,Lagos,Nigeria,15487000,Lagos,3.4,6.45
TUR,Istanbul,Turkey,15311000,Istanbul,28.9603,41.01
PAK,Karachi,Pakistan,15292000,Karachi,67.01,24.86
CHN,Shenzhen,China,14678000,Shenzhen,114.054,22.535
IND,Bangalore,India,13999000,Bangalore,77.5913,12.9791
VNM,Ho Chi Minh City,Vietnam,13954000,Ho Chi Minh City,106.6333,10.8167
USA,Los Angeles,United States,12750807,Los Angeles,-118.4068,34.1139
BRA,Rio de Janeiro,Brazil,12486000,Rio de Janeiro,-43.1964,-22.9083
CHN,Chengdu,China,11920000,Chengdu,104.0633,30.66
CHN,Baoding,China,11860000,Baoding,115.4845,38.8671
IND,Chennai,India,11564000,Chennai,80.275,13.0825
PAK,Lahore,Pakistan,11148000,Lahore,74.3436,31.5497
CHN,Tianjin,China,10932000,Tianjin,117.2056,39.1467
CHN,Linyi,China,10820000,Linyi,118.3425,35.0606
CHN,Shijiazhuang,China,10784600,Shijiazhuang,114.5086,38.0422
CHN,Zhengzhou,China,10136000,Zhengzhou,113.6605,34.7492
IND,Hyderābād,India,9840000,Hyderabad,78.4747,17.3617
JPN,Nagoya,Japan,9522000,Nagoya,136.9333,35.1167
USA,Chicago,United States,8604203,Chicago,-87.6862,41.8373
IND,Pune,India,7948000,Pune,73.8553,18.5196
IND,Ahmedabad,India,7717000,Ahmedabad,72.58,23.03
USA,Miami,United States,6445545,Miami,-80.2102,25.7839
IND,Allahābād,India,5954391,Allahabad,81.85,25.45
USA,Dallas,United States,5743938,Dallas,-96.7662,32.7936
USA,Philadelphia,United States,5649300,Philadelphia,-75.1339,40.0077
USA,Houston,United States,5464251,Houston,-95.3889,29.7863
USA,Atlanta,United States,5449398,Atlanta,-84.4224,33.7627
MEX,Guadalajara,Mexico,5437000,Guadalajara,-103.3475,20.6767
CAN,Toronto,Canada,5429524,Toronto,-79.3733,43.7417
RUS,Saint Petersburg,Russia,5384342,Saint Petersburg,30.3167,59.95
BRA,Belo Horizonte,Brazil,5159000,Belo Horizonte,-43.9419,-19.9281
IND,Sūrat,India,4875000,Surat,72.83,21.17
EGY,Alexandria,Egypt,4870000,Alexandria,29.9167,31.2
AUS,Sydney,Australia,4840600,Sydney,151.2094,-33.865
ESP,Barcelona,Spain,4735000,Barcelona,2.1769,41.3825
USA,Boston,United States,4688346,Boston,-71.0846,42.3188
